TAKIM NO,PAKET NUMARASI,GONDERME SAATI,BASINC,YUKSEKLIK,INIS HIZI,SICAKLIK,PIL GERILIMI,GPS LATITUDE,GPS LONGITUDE,GPS ALTITUDE,UYDU STATUSU,PITCH,ROLL,YAW,DONUS SAYISI,VIDEO AKTARIM BILGISI, SON KOMUT
79108,1574,14/9/2021 06/48/21,1007.40,0.14,-0.40,29.96,12.41,0.000000,0.000000,0.00,Ucus Bekleniyor,-8.87,4.68,308.06,24.17,HAYIR,
79108,1869,14/9/2021 09/16/00,1014.92,-14.85,0.20,30.18,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,174.62,-16.87,308.62,49.23,HAYIR,
79108,1870,14/9/2021 09/16/01,1014.92,-14.81,0.00,30.19,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,173.25,-17.56,307.87,49.24,HAYIR,
79108,1871,14/9/2021 09/16/02,1014.92,-14.86,0.00,30.20,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,174.12,-18.37,307.31,49.24,HAYIR,
79108,1872,14/9/2021 09/16/03,1014.92,-14.83,0.10,30.21,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,173.93,-17.87,305.75,49.24,HAYIR,
79108,1873,14/9/2021 09/16/04,1014.92,-14.80,0.00,30.21,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,176.93,-16.62,304.93,49.24,HAYIR,
79108,1874,14/9/2021 09/16/05,1014.93,-14.90,0.00,30.22,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,176.43,-18.06,304.50,49.25,HAYIR,
79108,1875,14/9/2021 09/16/06,1014.93,-14.91,0.00,30.23,11.77,0.000000,0.000000,0.00,Ucus Bekleniyor,176.18,-18.87,304.37,49.25,HAYIR,
79108,1876,14/9/2021 09/16/07,1014.93,-14.93,0.00,30.24,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,176.18,-19.25,304.25,49.25,HAYIR,
79108,1877,14/9/2021 09/16/08,1014.92,-14.84,0.00,30.25,11.77,0.000000,0.000000,0.00,Ucus Bekleniyor,175.81,-19.68,304.00,49.25,HAYIR,
79108,1878,14/9/2021 09/16/09,1014.93,-14.89,0.10,30.27,11.77,0.000000,0.000000,0.00,Ucus Bekleniyor,175.56,-19.81,304.00,49.25,HAYIR,
79108,1879,14/9/2021 09/16/10,1014.92,-14.82,0.00,30.28,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.06,-20.06,303.75,49.25,HAYIR,
79108,1880,14/9/2021 09/16/11,1014.93,-14.88,0.00,30.29,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,174.87,-20.43,303.56,49.25,HAYIR,
79108,1881,14/9/2021 09/16/12,1014.93,-14.92,0.00,30.30,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.06,-20.68,303.43,49.25,HAYIR,
79108,1882,14/9/2021 09/16/13,1014.92,-14.85,0.00,30.31,11.77,0.000000,0.000000,0.00,Ucus Bekleniyor,175.31,-20.81,303.37,49.25,HAYIR,
79108,1883,14/9/2021 09/16/14,1014.92,-14.86,0.10,30.31,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.06,-20.68,303.25,49.25,HAYIR,
79108,1884,14/9/2021 09/16/15,1014.93,-14.92,0.00,30.33,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.25,-20.68,303.25,49.25,HAYIR,
79108,1885,14/9/2021 09/16/16,1014.94,-14.97,0.00,30.33,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,175.25,-20.68,303.25,49.25,HAYIR,
79108,1886,14/9/2021 09/16/17,1014.94,-136329.91,0.00,17.54,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.43,-20.68,303.18,49.25,HAYIR,
79108,1887,14/9/2021 09/16/18,1014.96,-15.21,0.00,30.36,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.93,-20.62,303.12,49.25,HAYIR,
79108,1888,14/9/2021 09/16/19,1014.92,-14.88,-0.10,30.36,11.77,0.000000,0.000000,0.00,Ucus Bekleniyor,178.37,-20.12,303.37,49.25,HAYIR,
79108,1889,14/9/2021 09/16/20,1014.93,-14.90,0.40,30.37,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,176.62,-21.06,304.62,49.25,HAYIR,
79108,1890,14/9/2021 09/16/21,1014.90,-14.64,0.00,30.38,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,173.37,-21.62,310.81,49.25,HAYIR,
79108,1891,14/9/2021 09/16/22,1014.90,-14.64,0.30,30.39,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,174.87,-21.50,311.25,49.27,HAYIR,
79108,1892,14/9/2021 09/16/23,1014.90,-14.65,0.00,30.41,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,174.87,-21.50,311.18,49.27,HAYIR,
79108,1893,14/9/2021 09/16/24,1014.91,-14.77,0.00,30.42,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,174.93,-21.50,311.18,49.27,HAYIR,
79108,1894,14/9/2021 09/16/25,1014.90,-14.70,0.00,30.42,11.77,0.000000,0.000000,0.00,Ucus Bekleniyor,175.75,-21.43,311.06,49.27,HAYIR,
79108,1895,14/9/2021 09/16/26,1014.89,-14.60,0.10,30.43,11.77,0.000000,0.000000,0.00,Ucus Bekleniyor,175.87,-21.43,311.06,49.27,HAYIR,
79108,1896,14/9/2021 09/16/27,1014.90,-14.69,0.20,30.44,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.75,-21.43,311.06,49.27,HAYIR,
79108,1897,14/9/2021 09/16/28,1014.91,-14.71,0.10,30.45,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.62,-21.43,311.06,49.27,HAYIR,
79108,1898,14/9/2021 09/16/29,1014.90,-14.68,0.00,30.46,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,176.00,-21.12,311.12,49.27,HAYIR,
79108,1899,14/9/2021 09/16/30,1014.90,-14.69,0.20,30.47,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,176.06,-20.93,311.31,49.27,HAYIR,
